"" "gene_symbol"
"FBgn0010591" "Sply"
"FBgn0267185" "lncRNA:CR45625"
"FBgn0266582" "ND-30"
"FBti0063902" ""
"FBgn0260653" "serp"
"FBgn0267132" "lncRNA:CR45572"
"FBti0062634" ""
"FBgn0031830" "COX5B"
"FBgn0267753" "lncRNA:CR46084"
"FBgn0267751" "asRNA:CR46082"
"FBgn0015929" "dpa"
"FBgn0043550" "Tsp68C"
"FBgn0015721" "ktub"
"FBgn0040373" "CG3038"
"FBgn0266322" "asRNA:CR44987"
"FBti0061941" ""
"FBgn0035165" "CG13887"
"FBgn0030462" "CG15742"
"FBgn0013726" "pnut"
"FBti0019114" ""
"FBgn0036470" "EAChm"
"FBgn0264346" "lncRNA:CR43802"
"FBgn0010770" "ppan"
"FBti0019609" ""
"FBgn0034405" "Jheh2"
"FBgn0033789" "CG13324"
"FBti0061765" ""
"FBgn0029154" "Menl-1"
"FBgn0039049" "CG6726"
"FBti0062300" ""
"FBgn0039977" "CG17454"
"FBgn0266708" "Cep89"
"FBti0019169" ""
"FBti0060985" ""
"FBti0061421" ""
"FBgn0031637" "mxt"
"FBgn0264551" "lncRNA:CR43930"
"FBtr0304442_df_nrg" ""
"FBgn0260943" "Rbp6"
"FBgn0038196" "CG9922"
"FBgn0051497" "tRNA:Thr-AGT-1-3"
"FBgn0250846" "glob2"
"FBgn0267269" "lncRNA:TS11"
"FBgn0261710" "nocte"
"FBti0114522" ""
"FBgn0263870" "lncRNA:CR43717"
"FBti0060695" ""
"FBgn0262612" "CG43138"
"FBgn0262148" "lncRNA:CR42874"
"FBgn0040923" "CG11368"
"FBgn0261085" "Syt12"
"FBgn0267140" "lncRNA:CR45580"
"FBgn0015946" "grim"
"FBgn0016650" "Lgr1"
"FBgn0263402" "CG43448"
"FBti0064090" ""
"FBgn0038630" "CG14305"
"FBgn0263384" "lncRNA:CR43436"
"FBgn0044047" "Ilp6"
"FBgn0267323" "lncRNA:CR45759"
"FBgn0029940" "CG1958"
"FBgn0083047" "snoRNA:Psi18S-1377e"
"FBgn0286918" "CR46418"
"FBti0061737" ""
"FBgn0037354" "CG12171"
"FBti0059921" ""
"FBgn0036835" "CG14075"
"FBgn0266832" "lncRNA:CR45294"
"FBgn0042175" "CG18858"
"FBgn0266805" "lncRNA:CR45267"
"FBgn0029133" "REG"
"FBgn0037001" "ND-39"
"FBgn0265512" "mlt"
"FBgn0038461" "EMC2B"
"FBgn0039655" "CG14507"
"FBgn0000246" "c(3)G"
"FBgn0052548" "CG32548"
"FBgn0032677" "CG5790"
"FBti0148145" ""
"FBgn0033139" "Tsp42Er"
"FBgn0265954" "lncRNA:CR44741"
"FBgn0028327" "l(1)G0320"
"FBgn0265427" "lncRNA:CR44339"
"FBgn0041721" "snRNA:U12"
"FBgn0026563" "CG1979"
"FBgn0031762" "CG9098"
"FBgn0051274" "CG31274"
"FBti0062434" ""
"FBgn0034137" "CG4945"
"FBgn0030105" "CG15369"
"FBgn0021979" "l(2)k09913"
"FBgn0263019" "lncRNA:CR43314"
"FBgn0038139" "PK2-R2"
"FBgn0051491" "tRNA:Gly-TCC-1-2"
"FBgn0030092" "fh"
"FBgn0039830" "ATPsynC"
"FBgn0036259" "CG9760"
"FBgn0004959" "phm"
"FBgn0266316" "asRNA:CR44981"
"FBgn0267928" "lncRNA:CR46209"
"FBgn0037848" "Tsp86D"
"FBgn0031676" "senju"
"FBgn0034897" "Sesn"
"FBgn0052695" "CG32695"
"FBgn0038870" "Oga"
"FBti0062925" ""
"FBti0061853" ""
"FBgn0086768" "Pcmt"
"FBgn0052506" "tbc"
"FBgn0267121" "lncRNA:CR45561"
"FBti0061703" ""
"FBgn0022153" "l(2)k05819"
"FBgn0036237" "viaf"
"FBgn0085214" "CG34185"
"FBgn0032264" "Lip4"
"FBti0019365" ""
"FBgn0030244" "CG2157"
"FBgn0030342" "CG10347"
"FBgn0002931" "net"
"FBgn0026760" "Tehao"
"FBti0063643" ""
"FBgn0262416" "mir-31a"
"FBgn0064126" "CG33722"
"FBgn0004110" "tin"
"FBgn0015808" "ScpX"
"FBti0061201" ""
"FBgn0034058" "Pex11"
"FBgn0037069" "Cpr78Cc"
"FBgn0032869" "CG17470"
"FBti0061622" ""
"FBti0063942" ""
"FBgn0036109" "Cpr67Fa2"
"FBgn0262023" "CG42834"
"FBgn0030318" "rho-4"
"FBgn0267564" "lncRNA:CR45904"
"FBti0060546" ""
"FBgn0283494" "Adk2"
"FBgn0036335" "mRpL20"
"FBgn0039403" "Sld5"
"FBti0060373" ""
"FBgn0033258" "CG8712"
"FBti0060406" ""
"FBgn0052354" "CG32354"
"FBgn0262511" "Vha44"
"FBti0019095" ""
"FBgn0262482" "CG43072"
"FBti0063937" ""
"FBgn0037516" "CG11286"
"FBti0063814" ""
"FBgn0262407" "mir-308"
"FBgn0033624" "CG12384"
"FBgn0263997" "CG43740"
"FBgn0035931" "CG13312"
"FBgn0004244" "Rdl"
"FBgn0036177" "CG33268"
"FBgn0085346" "Rpp14a"
"FBgn0004429" "LysP"
"FBti0060386" ""
"FBgn0265946" "lncRNA:CR44733"
"FBti0059965" ""
"FBgn0262823" "hemo"
"FBti0063440" ""
"FBgn0267123" "lncRNA:CR45563"
"FBgn0032965" "CG11629"
"FBgn0041182" "Tep2"
"FBgn0267348" "LanB2"
"FBgn0264377" "CG43829"
"FBgn0285925" "Fas1"
"FBgn0004380" "Klp64D"
"FBgn0262057" "Spn77Ba"
"FBgn0086900" "Cpr65Ax1"
"FBgn0031663" "CG8891"
"FBgn0265742" "lncRNA:CR44549"
"FBgn0085370" "Pde11"
"FBgn0039969" "Fis1"
"FBgn0032247" "CG5188"
"FBti0062328" ""
"FBgn0063649" "CG6006"
"FBgn0266733" "asRNA:CR45206"
"FBti0060412" ""
"FBgn0265847" "lncRNA:CR44636"
"FBgn0264870" "lncRNA:CR44061"
"FBtr0445490_df_nrg" ""
"FBti0062867" ""
"FBgn0053099" "CG33099"
"FBti0062080" ""
"FBgn0031515" "CG9664"
"FBgn0038286" "CG6966"
"FBti0019655" ""
"FBgn0028980" "tant"
"FBgn0261983" "l(2)gd1"
"FBgn0020294" "ko"
"FBgn0027494" "RpS10a"
"FBgn0034160" "CG5550"
"FBgn0262177" "mir-375"
"FBgn0052785" "tRNA:Gln-CTG-2-1"
"FBgn0031265" "CG2794"
"FBti0059878" ""
"FBgn0032969" "CG2528"
"FBgn0039272" "CG11836"
"FBgn0031283" "CG15880"
"FBgn0050371" "CG30371"
"FBgn0266907" "asRNA:CR45367"
"FBgn0031086" "fd19B"
"FBgn0039920" "CG11360"
"FBgn0033614" "Obp47b"
"FBgn0265759" "lncRNA:CR44566"
"FBgn0265538" "CG44388"
"FBgn0261538" "CG42662"
"FBgn0259848" "Su(Ste):CR42417"
"FBgn0036681" "Obp73a"
"FBgn0266223" "lncRNA:CR44918"
"FBgn0040964" "CG18661"
"FBgn0035647" "CG10486"
"FBgn0040743" "CG15919"
"FBti0018993" ""
"FBtr0309611_df_nrg" ""
"FBgn0267219" "lncRNA:CR45659"
"FBti0020255" ""
"FBgn0265144" "lncRNA:CR44213"
"FBti0060978" ""
"FBgn0034758" "CG13510"
"FBgn0040682" "CG14664"
"FBgn0039232" "sosie"
"FBgn0250821" "CG14644"
"FBgn0003480" "spn-B"
"FBti0061604" ""
"FBgn0020880" "CG7179"
"FBti0059972" ""
"FBti0063641" ""
"FBti0063318" ""
"FBti0020244" ""
"FBgn0024989" "CG3777"
"FBti0064126" ""
"FBgn0283560" "mir-9380"
"FBgn0033421" "CG1888"
"FBti0061681" ""
"FBgn0035335" "mRpL23"
"FBgn0010434" "cora"
"FBtr0472929_df_nrg" ""
"FBgn0025558" "CG4101"
"FBti0062274" ""
"FBgn0032058" "CG9289"
"FBti0061667" ""
"FBgn0262141" "CG42867"
"FBti0061845" ""
"FBgn0039734" "Tace"
"FBti0062167" ""
"FBti0060202" ""
"FBgn0259209" "Mlp60A"
"FBgn0053536" "tRNA:Leu-TAA-2-1"
"FBgn0263603" "Zn72D"
"FBgn0036571" "Strump"
"FBgn0033972" "Ciao1"
"FBti0060770" ""
"FBgn0053371" "5SrRNA-Psi:CR33371"
"FBgn0030097" "CG12115"
"FBgn0036972" "CR6434"
"FBgn0031716" "CG14015"
"FBgn0035290" "dsb"
"FBgn0051388" "CG31388"
"FBgn0035240" "CG33791"
"FBtr0304435_df_nrg" ""
"FBgn0083032" "snoRNA:Psi18S-525g"
"FBti0061950" ""
"FBti0063568" ""
"FBgn0260870" "CG42580"
"FBgn0025881" "snoRNA:Me18S-A1576"
"FBgn0087039" "Sbp2"
"FBti0063985" ""
"FBti0063642" ""
"FBgn0264816" "koko"
"FBti0019531" ""
"FBgn0034928" "CG13562"
"FBgn0037207" "Mes2"
"FBtr0473837_df_nrg" ""
"FBgn0015321" "Ubc4"
"FBgn0034389" "Mctp"
"FBgn0029873" "CG3918"
"FBti0061261" ""
"FBgn0026206" "mei-P26"
"FBti0060402" ""
"FBgn0032050" "CG13096"
"FBgn0038303" "SIDL"
"FBgn0030251" "CG2145"
"FBti0063762" ""
"FBgn0030208" "PPP4R2r"
"FBti0114511" ""
"FBgn0262109" "lncRNA:CR42862"
"FBgn0034281" "CG14490"
"FBgn0085457" "CG34428"
"FBgn0024998" "CG2685"
"FBti0063838" ""
"FBgn0011980" "tRNA:Ser-AGA-3-1"
"FBti0062283" ""
"FBgn0266308" "lncRNA:CR44973"
"FBgn0051441" "CG31441"
"FBgn0013432" "bcn92"
"FBgn0024993" "CG2662"
"FBgn0038652" "CG7720"
"FBti0063806" ""
"FBti0061362" ""
"FBtr0304392_df_nrg" ""
"FBgn0039611" "Nepl18"
"FBgn0022936" "CycH"
"FBgn0015338" "CG5861"
"FBgn0263476" "snoRNA:CG32479-b"
"FBgn0266589" "lncRNA:CR45114"
"FBti0061512" ""
"FBgn0265589" "asRNA:CR44416"
"FBgn0259680" "Pkcdelta"
"FBgn0040377" "Vha36-3"
"FBti0064084" ""
"FBti0060053" ""
"FBti0064213" ""
"FBgn0266170" "pre-mod(mdg4)-C"
"FBgn0028838" "CSN1a"
"FBgn0035518" "CG15011"
"FBgn0031693" "Cyp4ac1"
"FBgn0265817" "lncRNA:CR44606"
"FBti0062185" ""
"FBgn0000447" "Dhod"
"FBgn0001206" "Hmr"
"FBgn0026756" "Ugt37A1"
"FBgn0039300" "RpS27"
"FBti0060736" ""
"FBgn0263022" "CG43317"
"FBgn0039022" "Nepl13"
"FBti0061554" ""
"FBgn0035155" "RabX6"
"FBti0060389" ""
"FBgn0037197" "CG13239"
"FBtr0304187_df_nrg" ""
"FBti0059685" ""
"FBgn0039098" "GILT3"
"FBgn0039626" "Slu7"
"FBgn0010768" "sqz"
"FBgn0039848" "Loxl1"
"FBgn0262333" "mir-963"
"FBti0019296" ""
"FBgn0036194" "Dph1"
"FBgn0051526" "lncRNA:CR31526"
"FBgn0030025" "CG2147"
"FBgn0003277" "RpII215"
"FBti0063854" ""
"FBgn0086659" "snoRNA:Psi18S-176"
"FBti0061084" ""
"FBgn0026573" "ADD1"
"FBti0019329" ""
"FBgn0085308" "CG34279"
"FBti0061727" ""
"FBgn0052499" "Cda4"
"FBgn0003285" "rst"
"FBti0063889" ""
"FBgn0250844" "CG4218"
"FBti0063540" ""
"FBgn0267992" "lncRNA:CR46259"
"FBgn0037602" "SLIRP2"
"FBgn0040382" "CG5273"
"FBti0062915" ""
"FBgn0041622" "Or69a"
"FBgn0039690" "Gnpnat"
"FBgn0020376" "Sr-CIII"
"FBti0060888" ""
"FBti0061203" ""
"FBgn0034878" "pita"
"FBgn0003979" "Vm26Aa"
"FBti0060762" ""
"FBgn0263648" "lncRNA:CR43639"
"FBgn0015919" "caup"
"FBgn0040823" "dpr6"
"FBgn0051516" "CG31516"
"FBgn0038073" "CG14395"
"FBgn0036121" "CG6310"
"FBgn0052201" "CG32201"
"FBgn0032456" "MRP"
"FBti0062670" ""
"FBgn0263579" "mir-4947"
"FBgn0034729" "CG10344"
"FBgn0262982" "CG43290"
"FBgn0265418" "lncRNA:CR44330"
"FBti0114518" ""
"FBgn0250831" "BG642167"
"FBgn0262898" "lncRNA:CR43253"
"FBgn0033113" "Spn42Dc"
"FBgn0031597" "CG17612"
"FBti0064253" ""
"FBti0063717" ""
"FBgn0033240" "CG2906"
"FBgn0266220" "lncRNA:CR44915"
"FBti0060098" ""
"FBgn0034301" "CG5756"
"FBgn0030540" "CG11581"
"FBti0059780" ""
"FBti0019935" ""
"FBti0063665" ""
"FBgn0051495" "CG31495"
"FBgn0259241" "CG42339"
"FBgn0267996" "asRNA:CR46263"
"FBgn0263495" "lncRNA:CR43484"
"FBgn0034300" "CG5098"
"FBgn0267710" "lncRNA:CR46043"
"FBgn0002938" "ninaC"
"FBgn0285976" "mir-10404-2"
"FBgn0010395" "Itgbn"
"FBgn0010217" "ATPsynbeta"
"FBti0060268" ""
"FBgn0259700" "CG42354"
"FBti0063906" ""
"FBgn0015402" "ksr"
"FBgn0052079" "CG32079"
"FBgn0267495" "asRNA:CR45185"
"FBgn0002773" "Mlc2"
"FBti0020372" ""
"FBgn0012024" "tRNA:Tyr-GTA-1-8"
"FBgn0011959" "tRNA:Arg-ACG-1-10"
"FBgn0266129" "lov"
"FBgn0036826" "arx"
"FBgn0261349" "Mst36Fb"
"FBgn0259717" "CG42371"
"FBti0062254" ""
"FBtr0309673_df_nrg" ""
"FBgn0005536" "Mbs"
"FBti0061238" ""
"FBti0062281" ""
"FBti0062889" ""
"FBti0062232" ""
"FBti0019582" ""
"FBgn0035427" "ckd"
"FBgn0036624" "RAF2"
"FBgn0264899" "CG44090"
"FBgn0026634" "Cog2"
"FBgn0036973" "Rbbp5"
"FBgn0028500" "Rich"
"FBgn0267076" "asRNA:CR45520"
"FBgn0028866" "CG18420"
"FBgn0265722" "lncRNA:CR44529"
"FBgn0051217" "modSP"
"FBgn0050076" "CG30076"
"FBtr0472760_df_nrg" ""
"FBti0062417" ""
"FBgn0024913" "Actbeta"
"FBti0060477" ""
"FBgn0265934" "lncRNA:CR44723"
"FBgn0267508" "28SrRNA-Psi:CR45848"
"FBti0061886" ""
"FBti0063960" ""
"FBgn0004427" "LysD"
"FBti0114516" ""
"FBti0063241" ""
"FBgn0039379" "CG5886"
"FBti0019527" ""
"FBgn0021796" "Tor"
"FBti0063179" ""
"FBgn0052857" "CG32857"
"FBti0060773" ""
"FBgn0035795" "CG16998"
"FBgn0265304" "lncRNA:CR44277"
"FBgn0053985" "CG33985"
"FBgn0032135" "GlcAT-S"
"FBti0063246" ""
"FBti0061917" ""
"FBti0019047" ""
"FBti0019760" ""
"FBgn0261567" "CG42681"
"FBti0063618" ""
"FBgn0038361" "Uros2"
"FBgn0263589" "asRNA:CR43614"
"FBgn0266860" "lncRNA:CR45321"
"FBti0062503" ""
"FBgn0032029" "CG17292"
"FBti0060361" ""
"FBgn0262127" "kibra"
"FBgn0266398" "lncRNA:CR45038"
"FBti0063918" ""
"FBgn0046879" "Obp56c"
"FBgn0033792" "CG13325"
"FBti0063599" ""
"FBgn0032230" "lft"
"FBgn0035042" "CG3640"
"FBgn0051019" "CG31019"
"FBti0064171" ""
"FBgn0029804" "CG3097"
"FBgn0001321" "knk"
"FBgn0262460" "mir-2a-2"
"FBti0063128" ""
"FBgn0058470" "CG40470"
"FBgn0261061" "Sfp96F"
"FBgn0267912" "CanA-14F"
"FBgn0030162" "CG1986"
"FBgn0064225" "RpL5"
"FBgn0040959" "Peritrophin-15a"
"FBti0019398" ""
"FBti0062069" ""
"FBti0063896" ""
"FBgn0025781" "Cdc16"
"FBgn0034092" "CG7798"
"FBgn0286030" "lncRNA:CR46350"
"FBgn0032088" "CG13102"
"FBgn0038275" "CG3817"
"FBti0061767" ""
"FBgn0046697" "Ppr-Y"
"FBgn0260397" "Su(var)3-3"
"FBgn0030573" "nmdyn-D6"
"FBti0019168" ""
"FBgn0039254" "Nmnat"
"FBgn0267509" "5.8SrRNA-Psi:CR45849"
"FBti0019337" ""
"FBgn0034121" "CG6262"
"FBgn0266022" "lncRNA:CR44787"
"FBgn0038568" "CG14315"
"FBgn0039265" "CG11790"
"FBgn0035293" "CG5687"
"FBgn0038697" "CG3581"
"FBgn0285951" "mRpS34"
"FBgn0263738" "Ada2a"
"FBgn0030817" "CG4991"
"FBgn0032487" "Ski6"
"FBgn0267665" "lncRNA:CR46003"
"FBgn0001994" "crp"
"FBgn0053808" "His2A:CG33808"
"FBti0062033" ""
"FBgn0037680" "pasi2"
"FBgn0051014" "PH4alphaSG1"
"FBti0061872" ""
"FBgn0262024" "CG42835"
"FBgn0243511" "psidin"
"FBgn0262486" "CG43076"
"FBgn0034548" "CG13443"
"FBti0060016" ""
"FBti0063885" ""
"FBti0062443" ""
"FBgn0050238" "tRNA:Glu-TTC-1-1"
"FBgn0034345" "CG5174"
"FBgn0030675" "CG8191"
"FBgn0027588" "GCS2alpha"
"FBgn0265835" "CG44624"
"FBgn0034106" "CG9068"
"FBgn0035710" "SP1173"
"FBgn0032658" "CG5681"
"FBgn0085325" "CG34296"
"FBgn0039682" "Obp99c"
"FBti0060069" ""
"FBgn0045823" "vsg"
"FBgn0020385" "pug"
"FBgn0263552" "mir-4961"
"FBgn0082994" "snoRNA:Psi28S-1837c"
"FBgn0263113" "Cc2d2a"
"FBgn0004556" "Dbp73D"
"FBti0019795" ""
"FBgn0033581" "CG12391"
"FBti0063047" ""
"FBgn0011845" "tRNA:Asp-GTC-1-11"
"FBti0061784" ""
"FBgn0264567" "lncRNA:CR43939"
"FBgn0000036" "nAChRalpha1"
"FBgn0030391" "Rab40"
"FBgn0036082" "CG12362"
"FBgn0265654" "lncRNA:CR44461"
"FBgn0030026" "sni"
"FBgn0286873" "CG46395"
"FBti0064192" ""
"FBgn0000559" "eEF2"
"FBgn0038530" "AttD"
"FBgn0035211" "CG2211"
"FBgn0037689" "CG8135"
"FBgn0038313" "CG4338"
"FBgn0026147" "TTLL4A"
"FBgn0267649" "pre-mod(mdg4)-H"
"FBgn0267680" "lncRNA:CR46016"
"FBgn0032078" "C1GalTA"
"FBgn0033876" "Syngr"
"FBgn0261955" "kdn"
"FBgn0053422" "5SrRNA:CR33422"
"FBgn0031866" "Nlg2"
"FBgn0052751" "CG32751"
"FBgn0283549" "mir-9372"
"FBgn0039104" "CG10252"
"FBgn0267108" "CR45548"
"FBgn0036302" "sowah"
"FBgn0038914" "fit"
"FBgn0262213" "mir-2495"
"FBgn0015239" "Hr78"
"FBgn0040726" "dpr1"
"FBgn0036330" "CG11263"
"FBgn0030666" "CG12708"
"FBgn0262886" "lncRNA:CR43241"
"FBgn0265949" "lncRNA:CR44736"
"FBgn0260745" "mfas"
"FBti0063734" ""
"FBgn0053357" "5SrRNA:CR33357"
"FBgn0265860" "lncRNA:CR44649"
"FBgn0264370" "lncRNA:CR43822"
"FBgn0033659" "Damm"
"FBgn0038828" "CG17270"
"FBti0061190" ""
"FBgn0033826" "CG4734"
"FBgn0265897" "lncRNA:CR44686"
"FBgn0011279" "Obp69a"
"FBti0060831" ""
"FBgn0050110" "CG30110"
"FBgn0031851" "Aatf"
"FBgn0265639" "lncRNA:CR44446"
"FBti0063122" ""
"FBgn0030787" "CG9609"
"FBgn0038414" "CG6901"
"FBgn0250816" "AGO3"
"FBgn0278597" "lncRNA:CR46267"
"FBgn0034031" "CG12963"
"FBgn0025686" "Amnionless"
"FBgn0033540" "Elp2"
"FBgn0267682" "asRNA:CR46018"
"FBti0020437" ""
"FBgn0040636" "CG13255"
"FBti0059871" ""
"FBgn0266382" "asRNA:CR45024"
"FBgn0037773" "CG5359"
"FBgn0032523" "CG16956"
"FBti0019468" ""
"FBgn0029649" "CG4116"
"FBgn0019982" "Gs1l"
"FBgn0266025" "lncRNA:CR44790"
"FBgn0036771" "Wdr92"
"FBtr0309707_df_nrg" ""
"FBgn0264478" "CG43886"
"FBti0061157" ""
"FBti0061010" ""
"FBgn0031345" "CG18132"
"FBgn0011016" "SsRbeta"
"FBgn0038642" "Muc91C"
"FBgn0042696" "NfI"
"FBgn0085213" "CG34184"
"FBgn0051997" "CG31997"
"FBti0019103" ""
"FBgn0029828" "CG6067"
"FBgn0085367" "CG34338"
"FBgn0033405" "CG13954"
"FBgn0265719" "lncRNA:CR44526"
"FBgn0265963" "lncRNA:CR44750"
"FBgn0036991" "CtIP"
"FBgn0083950" "side-VI"
"FBti0019852" ""
"FBgn0003091" "Pkc53E"
"FBti0019541" ""
"FBgn0267553" "lncRNA:CR45893"
"FBgn0033851" "CG13332"
"FBti0020328" ""
"FBti0060208" ""
"FBgn0053811" "His-Psi:CR33811"
"FBgn0029524" "CG3176"
"FBgn0267882" "CR46170"
"FBgn0035772" "Sh3beta"
"FBgn0032693" "Cyp310a1"
"FBgn0030543" "CG11585"
"FBgn0050502" "fa2h"
"FBgn0034664" "CG4377"
"FBgn0000247" "ca"
"FBti0019429" ""
"FBti0064286" ""
"FBti0061879" ""
"FBgn0028374" "Hug"
"FBgn0037171" "CG14459"
"FBgn0031021" "ND-18"
"FBti0060973" ""
"FBgn0028889" "tRNA:Leu-TAA-3-1"
"FBgn0051242" "tRNA:Gly-TCC-1-3"
"FBgn0040837" "CG8620"
"FBgn0262098" "CG42851"
"FBti0062261" ""
"FBgn0023513" "CG14803"
"FBti0020037" ""
"FBgn0267011" "lncRNA:CR45455"
"FBgn0029810" "CG12239"
"FBgn0259150" "OtopLc"
"FBgn0267926" "lncRNA:CR46207"
"FBgn0261429" "lncRNA:CR42646"
"FBgn0004577" "Pxd"
"FBti0061219" ""
"FBgn0266408" "lncRNA:CR45048"
"FBti0020402" ""
"FBgn0267179" "lncRNA:CR45619"
"FBgn0035321" "CG1275"
"FBti0020128" ""
"FBgn0036221" "CG11588"
"FBgn0029893" "CG14442"
"FBgn0085242" "CG34213"
"FBgn0266114" "asRNA:CR44840"
"FBgn0003510" "Sry-alpha"
"FBgn0266212" "asRNA:CR44907"
"FBti0019963" ""
"FBgn0038619" "CG7685"
"FBgn0050035" "Tret1-1"
"FBgn0028886" "CG15279"
"FBgn0000392" "cup"
"FBgn0011949" "tRNA:Arg-TCG-3-2"
"FBgn0035227" "Iml1"
"FBgn0002593" "RpLP1"
"FBti0064029" ""
"FBtr0472774_df_nrg" ""
"FBti0062407" ""
"FBgn0038976" "Pfdn5"
"FBti0019386" ""
"FBgn0267191" "lncRNA:CR45631"
"FBgn0262543" "lncRNA:CR43097"
"FBgn0031881" "MME1"
"FBgn0043884" "mask"
"FBgn0262883" "lncRNA:CR43238"
"FBti0063984" ""
"FBgn0267189" "asRNA:CR45629"
"FBgn0052298" "CG32298"
"FBgn0052273" "tRNA:Met-CAT-2-1"
"FBgn0265756" "lncRNA:CR44563"
"FBti0061775" ""
"FBgn0033949" "Had2"
"FBgn0027535" "botv"
"FBgn0265683" "lncRNA:CR44490"
"FBgn0012003" "tRNA:Val-CAC-2-5"
"FBgn0262201" "mir-973"
"FBti0064049" ""
"FBgn0262364" "CG43062"
"FBti0019210" ""
"FBti0063070" ""
"FBgn0034814" "CG9890"
"FBgn0031031" "CG14218"
"FBgn0038957" "CG7059"
"FBti0019091" ""
"FBti0062393" ""
"FBgn0029696" "CG15571"
"FBti0063267" ""
"FBgn0014163" "fax"
"FBgn0267801" "lncRNA:CR46126"
"FBgn0265587" "lncRNA:CR44414"
"FBgn0033458" "Lime"
"FBgn0030063" "CG1789"
"FBgn0085263" "CG34234"
"FBgn0052198" "CG32198"
"FBgn0267990" "lncRNA:CR46257"
"FBti0062812" ""
"FBti0062913" ""
"FBgn0030300" "Sk1"
"FBgn0004055" "uzip"
"FBgn0038797" "Dic2"
"FBti0063664" ""
"FBgn0028945" "CG7631"
"FBti0062168" ""
"FBgn0038247" "Cad88C"
"FBti0061088" ""
"FBgn0265813" "lncRNA:CR44602"
"FBgn0275432" "asRNA:CR46264"
"FBti0062496" ""
"FBgn0284419" "lncRNA:TS26"
"FBgn0262714" "Sap130"
"FBti0063699" ""
"FBgn0037213" "CG12581"
"FBgn0031959" "spz3"
"FBti0063371" ""
"FBgn0032189" "Ripalpha"
"FBgn0054025" "CG34025"
"FBgn0030177" "CG2972"
"FBgn0002525" "Lam"
"FBgn0041775" "tral"
"FBgn0286041" "sisRNA:CR46363"
"FBti0019000" ""
"FBgn0038827" "Fancd2"
"FBti0063248" ""
"FBgn0243512" "puc"
"FBgn0023514" "CG14805"
"FBgn0053238" "Ste:CG33238"
"FBgn0063496" "GstE4"
"FBgn0085320" "CG34291"
"FBgn0267510" "2SrRNA-Psi:CR45850"
"FBgn0011273" "Acam"
"FBgn0082935" "snoRNA:Me28S-G1083a"
"FBti0060082" ""
"FBgn0264672" "Eogt"
"FBgn0035593" "CG4603"
"FBgn0265738" "lncRNA:CR44545"
"FBgn0051851" "Naa20B"
"FBti0063043" ""
"FBgn0034646" "Rae1"
"FBti0060348" ""
"FBgn0262731" "CG33941"
"FBgn0086906" "sls"
"FBgn0261799" "dsx-c73A"
"FBgn0051803" "Rsph9"
"FBgn0085425" "CG34396"
"FBgn0027790" "GV1"
"FBgn0034474" "Obp56g"
"FBgn0027066" "Eb1"
"FBgn0001259" "in"
"FBgn0020626" "Osbp"
"FBgn0054027" "CG34027"
"FBgn0053905" "His4:CG33905"
"FBgn0038108" "CG7518"
"FBgn0029911" "CG14435"
"FBgn0016976" "stnA"
"FBgn0261683" "B9d2"
"FBti0059794" ""
"FBgn0086062" "snoRNA:Me28S-C788b"
"RR48372_transposable_element" ""
"FBgn0035022" "CG11413"
"FBti0062945" ""
"FBgn0035718" "CG14820"
"FBgn0053200" "VepD"
"FBti0062523" ""
"FBgn0263344" "asRNA:CR43425"
"FBgn0030679" "CG8206"
"FBtr0304430_df_nrg" ""
"FBgn0266418" "wake"
"FBgn0032445" "CG6153"
"FBti0061689" ""
"FBti0062357" ""
"FBgn0051860" "ZnT33D"
"FBti0062617" ""
"FBgn0034513" "CG13423"
"FBgn0259851" "Su(Ste):CR42420"
"FBgn0265732" "lncRNA:CR44539"
"FBgn0039315" "CG13658"
"FBgn0267385" "PyK"
"FBgn0034866" "Or59c"
"FBgn0014859" "Hr38"
"FBgn0037443" "Dmtn"
"FBgn0038747" "RhoGAP92B"
"FBgn0040368" "eIF4E7"
"FBgn0264553" "lncRNA:CR43932"
"FBgn0261797" "Dhc64C"
"FBti0063709" ""
"FBti0062118" ""
"FBgn0031518" "CG3277"
"FBgn0263659" "lncRNA:CR43650"
"FBgn0016926" "Pino"
"FBgn0032812" "Hakai"
"FBti0059745" ""
"FBgn0267276" "asRNA:CR45712"
"FBgn0012002" "tRNA:Val-CAC-1-1"
"FBti0061183" ""
"FBgn0034842" "Prosbeta5R1"
"FBgn0039638" "dgt6"
"FBgn0032779" "Alp12"
"FBgn0040005" "CG17883"
"FBgn0004901" "Prat"
"FBti0019731" ""
"FBgn0260970" "Ubr3"
"FBgn0051054" "CR31054"
"FBgn0266724" "Trs20"
"FBgn0040651" "CG15458"
"FBgn0041582" "tamo"
"FBgn0021906" "RFeSP"
"FBgn0035445" "Ids"
"FBgn0284228" "CG46312"
"FBti0064023" ""
"FBgn0036934" "sNPF-R"
"FBgn0063492" "GstE8"
"FBgn0030156" "CG15247"
"FBgn0036858" "CG14088"
"FBgn0034279" "CG18635"
"FBgn0035824" "CG8281"
"FBtr0309664_df_nrg" ""
"FBgn0023536" "CG3156"
"FBgn0025702" "Srpk79D"
"FBgn0038376" "Hmt-1"
"FBgn0028530" "mTTF"
"FBgn0040376" "AANATL7"
"FBti0019108" ""
"FBgn0034154" "CG5267"
"FBgn0033309" "Lnpk"
"FBgn0030339" "Cyp28c1"
"FBti0063190" ""
"FBgn0033603" "Cpr47Ef"
